Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
raceethnicsegregation_acs_total_population,phenx_race_ethnic_residential_segregation_american_community,,text,Total Population,,PX211403,number,,,,,,,,,
raceethnicsegregation_acs_nothispanic,phenx_race_ethnic_residential_segregation_american_community,,text,Not Hispanic or Latino,,PX211403,number,,,,,,,,,
raceethnicsegregation_acs_nothispanic_whitealone,phenx_race_ethnic_residential_segregation_american_community,,text,Not Hispanic or Latino - White alone,,PX211403,number,,,,,,,,,
raceethnicsegregation_acs_nothispanic_blackalone,phenx_race_ethnic_residential_segregation_american_community,,text,Not Hispanic or Latino - Black or African American alone,,PX211403,number,,,,,,,,,
raceethnicsegregation_acs_nothispanic_native_americanalone,phenx_race_ethnic_residential_segregation_american_community,,text,Not Hispanic or Latino - American Indian and Alaska Native alone,,PX211403,number,,,,,,,,,
raceethnicsegregation_acs_nothispanic_asianalone,phenx_race_ethnic_residential_segregation_american_community,,text,Not Hispanic or Latino - Asian alone,,PX211403,number,,,,,,,,,
raceethnicsegregation_acs_nothispanic_hawaiian_pacificislanderalone,phenx_race_ethnic_residential_segregation_american_community,,text,Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,,PX211403,number,,,,,,,,,
raceethnicsegregation_acs_nothispanic_other_racealone,phenx_race_ethnic_residential_segregation_american_community,,text,Not Hispanic or Latino - Some other race alone,,PX211403,number,,,,,,,,,
raceethnicsegregation_acs_nothispanic_twoormore_racesalone,phenx_race_ethnic_residential_segregation_american_community,,text,Not Hispanic or Latino - Two or more races alone,,PX211403,number,,,,,,,,,
raceethnicsegregation_acs_nothispanic_twoandother_race,phenx_race_ethnic_residential_segregation_american_community,,text,Not Hispanic or Latino - Two races including Some other race,,PX211403,number,,,,,,,,,
raceethnicsegregation_acs_nothispanic_twonotsomeother_races,phenx_race_ethnic_residential_segregation_american_community,,text,"Not Hispanic or Latino - Two races excluding Some other race, and three or more races",,PX211403,number,,,,,,,,,
raceethnicsegregation_acs_hispanic,phenx_race_ethnic_residential_segregation_american_community,,text,Hispanic or Latino,,PX211403,number,,,,,,,,,
raceethnicsegregation_acs_hispanic_whitealone,phenx_race_ethnic_residential_segregation_american_community,,text,Hispanic or Latino - White alone,,PX211403,number,,,,,,,,,
raceethnicsegregation_acs_hispanic_blackalone,phenx_race_ethnic_residential_segregation_american_community,,text,Hispanic or Latino - Black or African American alone,,PX211403,number,,,,,,,,,
raceethnicsegregation_acs_hispanic_native_americanalone,phenx_race_ethnic_residential_segregation_american_community,,text,Hispanic or Latino - American Indian and Alaska Native alone,,PX211403,number,,,,,,,,,
raceethnicsegregation_acs_hispanic_asianalone,phenx_race_ethnic_residential_segregation_american_community,,text,Hispanic or Latino - Asian alone,,PX211403,number,,,,,,,,,
raceethnicsegregation_acs_hispanic_hawaiian_pacificislanderalone,phenx_race_ethnic_residential_segregation_american_community,,text,Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,,PX211403,number,,,,,,,,,
raceethnicsegregation_acs_hispanic_other_racealone,phenx_race_ethnic_residential_segregation_american_community,,text,Hispanic or Latino - Some other race alone,,PX211403,number,,,,,,,,,
raceethnicsegregation_acs_hispanic_twoormore_racesalone,phenx_race_ethnic_residential_segregation_american_community,,text,Hispanic or Latino - Two or more races alone,,PX211403,number,,,,,,,,,
raceethnicsegregation_acs_hispanic_twoandother_race,phenx_race_ethnic_residential_segregation_american_community,,text,Hispanic or Latino - Two races including Some other race,,PX211403,number,,,,,,,,,
raceethnicsegregation_acs_hispanic_twonotsomeother_races,phenx_race_ethnic_residential_segregation_american_community,,text,"Hispanic – Latino - Two races excluding Some other race, and three or more races",,PX211403,number,,,,,,,,,
