Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
raceethnicsegregation_census_total_population,phenx_race_ethnic_residential_segregation_us_census,,text,Total Population,,PX211402,number,,,,,,,,,
raceethnicsegregation_census_nothispanic,phenx_race_ethnic_residential_segregation_us_census,,text,Not Hispanic or Latino,,PX211402,number,,,,,,,,,
raceethnicsegregation_census_nothispanic_whitealone,phenx_race_ethnic_residential_segregation_us_census,,text,Not Hispanic or Latino - White alone,,PX211402,number,,,,,,,,,
raceethnicsegregation_census_nothispanic_blackalone,phenx_race_ethnic_residential_segregation_us_census,,text,Not Hispanic or Latino - Black or African American alone,,PX211402,number,,,,,,,,,
raceethnicsegregation_census_nothispanic_nativeamericanalone,phenx_race_ethnic_residential_segregation_us_census,,text,Not Hispanic or Latino - American Indian and Alaska Native alone,,PX211402,number,,,,,,,,,
raceethnicsegregation_census_nothispanic_asianalone,phenx_race_ethnic_residential_segregation_us_census,,text,Not Hispanic or Latino - Asian alone,,PX211402,number,,,,,,,,,
raceethnicsegregation_census_nothispanic_hawaiian_pacificislanderalone,phenx_race_ethnic_residential_segregation_us_census,,text,Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,,PX211402,number,,,,,,,,,
raceethnicsegregation_census_nothispanic_other_racealone,phenx_race_ethnic_residential_segregation_us_census,,text,Not Hispanic or Latino - Some other race alone,,PX211402,number,,,,,,,,,
raceethnicsegregation_census_nothispanic_twoormore_racesalone,phenx_race_ethnic_residential_segregation_us_census,,text,Not Hispanic or Latino - Two or more races alone,,PX211402,number,,,,,,,,,
raceethnicsegregation_census_hispanic,phenx_race_ethnic_residential_segregation_us_census,,text,Hispanic or Latino,,PX211402,number,,,,,,,,,
raceethnicsegregation_census_hispanic_whitealone,phenx_race_ethnic_residential_segregation_us_census,,text,Hispanic or Latino - White alone,,PX211402,number,,,,,,,,,
raceethnicsegregation_census_hispanic_blackalone,phenx_race_ethnic_residential_segregation_us_census,,text,Hispanic or Latino - Black or African American alone,,PX211402,number,,,,,,,,,
raceethnicsegregation_census_hispanic_nativeamericanalone,phenx_race_ethnic_residential_segregation_us_census,,text,Hispanic or Latino - American Indian and Alaska Native alone,,PX211402,number,,,,,,,,,
raceethnicsegregation_census_hispanic_asianalone,phenx_race_ethnic_residential_segregation_us_census,,text,Hispanic or Latino - Asian alone,,PX211402,number,,,,,,,,,
raceethnicsegregation_census_hispanic_hawaiian_pacificislanderalone,phenx_race_ethnic_residential_segregation_us_census,,text,Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,,PX211402,number,,,,,,,,,
raceethnicsegregation_census_hispanic_other_racealone,phenx_race_ethnic_residential_segregation_us_census,,text,Hispanic or Latino - Some other race alone,,PX211402,number,,,,,,,,,
raceethnicsegregation_census_hispanic_twoormore_racesalone,phenx_race_ethnic_residential_segregation_us_census,,text,Hispanic or Latino - Two or more races alone,,PX211402,number,,,,,,,,,
