Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
tobacco_retailer_density_school350,phenx_tobacco_retailer_density_school,,text,What is the number of tobacco retailers within 350 meter service area around each local park and parcel containing schools?,,retailers | | PX741203,integer,0,,,,,,,,
tobacco_retailer_density_school350_calculated,phenx_tobacco_retailer_density_school,,text,What is the density? (Divide count by land area for each buffer. Land area is to be extracted from Census 2010 data),,retailers per square kilometer | | PX741203,number,0,,,,,,,,
tobacco_retailer_density_school500,phenx_tobacco_retailer_density_school,,text,What is the number of tobacco retailers within 500 meter service area around each local park and parcel containing schools?,,retailers | | PX741203,integer,0,,,,,,,,
tobacco_retailer_density_school500_calculated,phenx_tobacco_retailer_density_school,,text,What is the density? (Divide count by land area for each buffer. Land area is to be extracted from Census 2010 data),,retailers per square kilometer | | PX741203,number,0,,,,,,,,
tobacco_retailer_density_school1000,phenx_tobacco_retailer_density_school,,text,What is the number of tobacco retailers within 1000 meter service area around each local park and parcel containing schools?,,retailers | | PX741203,integer,0,,,,,,,,
tobacco_retailer_density_school1000_calculated,phenx_tobacco_retailer_density_school,,text,What is the density? (Divide count by land area for each buffer. Land area is to be extracted from Census 2010 data),,retailers per square kilometer | | PX741203,number,0,,,,,,,,
