Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
separation_s_index_unbiased_record_id,phenx_separation_s_index_unbiased,,text,Record ID,,PX211404,,,,,,,,,,
racial_ethnic_segregation_separation_index_introduction,phenx_separation_s_index_unbiased,,descriptive,"<p>The ACS data used in this protocol can be accessed by using Excel to read the Summary Files or using the &ldquo;Download Center&rdquo; at the U.S. Census Bureau&rsquo;s American FactFinder portal at <a href=""factfinder.census.gov"">http://factfinder.census.gov</a>. Users can find additional information on these tools at the following locations:</p><p>Using Excel to Access Summary Files: <a href=""www2.census.gov/programs-surveys/acs/summary_file/2014/documentation/tech_docs/ACS_SF_Excel_Import_Tool.pdf"">http://www2.census.gov/programs-surveys/acs/summary_file/2014/documentation/tech_docs/ACS_SF_Excel_Import_Tool.pdf</a></p><p>Using the Download Center: <a href=""www2.census.gov/programs-surveys/acs/summary_file/2014/documentation/tech_docs/How_to_Access_ACS_Estimates_AFF.pdf"">http://www2.census.gov/programs-surveys/acs/summary_file/2014/documentation/tech_docs/How_to_Access_ACS_Estimates_AFF.pdf</a></p><p>The technical documentation for the ACS summary files is available online at <a href=""www.census.gov/programs-surveys/acs/technical-documentation.html"">http://www.census.gov/programs-surveys/acs/technical-documentation.html</a>. Select the &ldquo;Summary File Documentation&rdquo; link, and then select the data set of interest. Users not familiar with Census data should consult the technical materials.</p><p>The key race/ethnicity data in the ACS are found in ""Table B03002: Hispanic or Latino by Race."" This table is preferred over other possible race and race/ethnic tables available, as it provides data on the main race/ethnic groups in the United States and explicitly incorporates data on Hispanic or Latino populations, otherwise not available in the race-only tables.</p><p>The race/ethnic data are available for all small census geographies&mdash;such as census block, census block group, and census tract&mdash;and can be easily extracted for almost any geographic level. Note: Although block group data have long been available from the Census File Transfer Protocol site, the Census Bureau did not make block groups available for download at American FactFinder until the release of the 2009-2013 ACS. Information about accessing block group data for earlier years is available at <a href=""www.census.gov/library/video/acs_block_group.html"">http://www.census.gov/library/video/acs_block_group.html</a>.</p><p>Researchers can use the data in this table to easily calculate basic variables (e.g., the percentage of any race and/or ethnicity group) or to combine groups (e.g., all minorities).</p>",,PX211404,,,,,,,,,,
racial_ethnic_segregation_separation_index_not_hispanic_estimate,phenx_separation_s_index_unbiased,,text,Not Hispanic or Latino - Estimate,,PX211404,integer,,,,,,,,,
racial_ethnic_segregation_separation_index_not_hispanic_margin_error,phenx_separation_s_index_unbiased,,text,Not Hispanic or Latino - Margin of Error,,PX211404,integer,,,,,,,,,
racial_ethnic_segregation_separation_index_not_hispanic_white_estimate,phenx_separation_s_index_unbiased,,text,Not Hispanic or Latino - White alone - Estimate,,PX211404,integer,,,,,,,,,
racial_ethnic_segregation_separation_index_not_hispanic_white_margin_error,phenx_separation_s_index_unbiased,,text,Not Hispanic or Latino - White alone - Margin of Error,,PX211404,integer,,,,,,,,,
racial_ethnic_segregation_separation_index_not_hispanic_black_estimate,phenx_separation_s_index_unbiased,,text,Not Hispanic or Latino - Black or African American alone - Estimate,,PX211404,integer,,,,,,,,,
racial_ethnic_segregation_separation_index_not_hispanic_black_margin_error,phenx_separation_s_index_unbiased,,text,Not Hispanic or Latino - Black or African American alone - Margin of Error,,PX211404,integer,,,,,,,,,
racial_ethnic_segregation_separation_index_not_hispanic_american_indian_estimate,phenx_separation_s_index_unbiased,,text,Not Hispanic or Latino - American Indian and Alaska Native alone - Estimate,,PX211404,integer,,,,,,,,,
racial_ethnic_segregation_separation_index_not_hispanic_american_indian_margin_error,phenx_separation_s_index_unbiased,,text,Not Hispanic or Latino - American Indian and Alaska Native alone - Margin of Error,,PX211404,integer,,,,,,,,,
