Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
maternal_grandmother_birthplace,phenx_birthplace_of_grandparents,,radio,Where was your mother's mother born?,"UNDEFINED_CODE,In the United States|UNDEFINED_CODE_1,Outside the United States|UNDEFINED_CODE_2,Don't know",PX010401,,,,,,,,,,
maternal_grandmother_birthplace_location,phenx_birthplace_of_grandparents,,text,"Where was your mother's mother born?  In the United States - Print name of state  Outside the United States - Print U.S. Territory (e.g., Puerto Rico, U.S. Virgin Islands, Guam) or name of foreign country etc.",,PX010401,,,,,,,,,,
maternal_grandfather_birthplace,phenx_birthplace_of_grandparents,,radio,Where was your mother's father born?,"UNDEFINED_CODE,In the United States|UNDEFINED_CODE_1,Outside the United States|UNDEFINED_CODE_2,Don't know",PX010401,,,,,,,,,,
maternal_grandfather_birthplace_location,phenx_birthplace_of_grandparents,,text,"Where was your mother's father born?  In the United States - Print name of state  Outside the United States - Print U.S. Territory (e.g., Puerto Rico, U.S. Virgin Islands, Guam) or name of foreign country etc.",,PX010401,,,,,,,,,,
paternal_grandmother_birthplace,phenx_birthplace_of_grandparents,,radio,Where was your father's mother born?,"UNDEFINED_CODE,In the United States|UNDEFINED_CODE_1,Outside the United States|UNDEFINED_CODE_2,Don't know",PX010401,,,,,,,,,,
paternal_grandmother_birthplace_location,phenx_birthplace_of_grandparents,,text,"Where was your father's mother born?  In the United States - Print name of state  Outside the United States - Print U.S. Territory (e.g., Puerto Rico, U.S. Virgin Islands, Guam) or name of foreign country etc.",,PX010401,,,,,,,,,,
paternal_grandfather_birthplace,phenx_birthplace_of_grandparents,,radio,Where was your father's father born?,"UNDEFINED_CODE,In the United States|UNDEFINED_CODE_1,Outside the United States|UNDEFINED_CODE_2,Don't know",PX010401,,,,,,,,,,
paternal_grandfather_birthplace_location,phenx_birthplace_of_grandparents,,text,"Where was your mother's father born?  In the United States - Print name of state  Outside the United States - Print U.S. Territory (e.g., Puerto Rico, U.S. Virgin Islands, Guam) or name of foreign country etc.",,PX010401,,,,,,,,,,
