CONDR_IDSEQ,CONCEPT_CODE
AB461F5D-3F02-78CA-E040-BB89AD434E2B,C49484:C37998:C17998
723DC8C2-6334-B5EE-E040-BB89AD43066C,C49487:C25162:C67490
397B7590-F371-00BC-E044-0003BA3F9857,C49487:C25214
2090B68B-CB16-4FB0-E044-0003BA3F9857,C49487:C25217
848D6B1E-8F0F-0D9C-E040-BB89AD437B49,C50995:C25594:C17747
38220E8D-A0DE-0D5D-E044-0003BA3F9857,C51765:C15256
E18D2452-BD0D-3D79-E040-BB89AD436F10,C53268:C100809:C25458:C71329
406248CC-73ED-734F-E044-0003BA3F9857,C53268:C25174:C25458:C71329
406248CC-7417-734F-E044-0003BA3F9857,C53268:C25189:C25458:C71329
E18D2452-BDA9-3D79-E040-BB89AD436F10,C53268:C96572:C25458:C71329
E18D2452-BD81-3D79-E040-BB89AD436F10,C53268:C96580:C25458:C71329
55491D1D-84D1-3E82-E044-0003BA3F9857,C53279:C49236
DB98873E-EDB7-F615-E040-BB89AD4317EA,C54566:C25716:C16033
CD7177D0-9EF4-4753-E040-BB89AD431887,C54566:C62613
E7D99851-B8F3-E83D-E040-BB89AD435646,C54722:C18000
38DBE882-E485-674F-E044-0003BA3F9857,C62780:C4870
39978D4B-0847-535E-E050-BB89AD4354A2,C65069:C82465
AEA12E73-7C17-F547-E040-BB89AD434A01,C66832:C25301
ADC94217-09F7-8225-E040-BB89AD4349A1,C66832:C25529
ADDF9C02-39EA-5784-E040-BB89AD43338D,C66832:C29848
AEA12E73-7BF1-F547-E040-BB89AD434A01,C66833:C25301
ADC94217-09D1-8225-E040-BB89AD4349A1,C66833:C25529
AEA12E73-7BCB-F547-E040-BB89AD434A01,C66834:C25301
ADC94217-09AB-8225-E040-BB89AD4349A1,C66834:C25529
AEA12E73-7BA5-F547-E040-BB89AD434A01,C66835:C25301
ADC94217-0985-8225-E040-BB89AD4349A1,C66835:C25529
AEA12E73-7B7F-F547-E040-BB89AD434A01,C66836:C25301
